Date,Time,Item,Qty,Price Point Name,Gross Sales,Discounts,Net Sales,Tax,Transaction ID,Payment ID,Customer ID,Customer Name,Customer Reference ID,Unit,Count,Employee,PAN Suffix
09/21/2024,04:32 PM,Tea,1,,$5.19,$0.00,$5.19,$0.43,TRANS000007,PAY000007,,,,each,1,Employee 6,2648
11/12/2024,11:34 AM,Concha,1,,$4.56,$0.00,$4.56,$0.38,TRANS000008,PAY000008,,,,each,1,Employee 6,4436
09/20/2024,01:07 PM,Avocado Toast,1,,$11.43,$0.00,$11.43,$0.94,TRANS000009,PAY000009,,,,each,1,Employee 4,1190
09/20/2024,01:07 PM,BLT,1,,$9.83,$0.00,$9.83,$0.81,TRANS000009,PAY000009,,,,each,1,Employee 1,4327
10/06/2024,09:24 AM,Matcha Latte,1,,$5.33,$0.00,$5.33,$0.44,TRANS000010,PAY000010,,,,each,1,Employee 9,5780
08/20/2024,08:07 AM,Avocado Toast,1,,$13.05,$0.00,$13.05,$1.08,TRANS000011,PAY000011,,,,each,1,Employee 3,7966
08/20/2024,08:07 AM,Horchata Agua Fresca,1,,$3.78,$0.74,$3.03,$0.25,TRANS000011,PAY000011,,,,each,1,Employee 3,5752
11/28/2024,10:27 AM,Breakfast Tacos,1,,$11.40,$0.00,$11.40,$0.94,TRANS000012,PAY000012,CUST0474,Customer 117,CUST0474,each,1,Employee 6,3744
11/28/2024,10:27 AM,Cold Brew,1,,$4.85,$0.53,$4.32,$0.36,TRANS000012,PAY000012,CUST0474,Customer 117,CUST0474,each,1,Employee 4,7617
10/24/2024,02:35 PM,Avocado Toast,1,,$8.77,$0.00,$8.77,$0.72,TRANS000013,PAY000013,,,,each,1,Employee 5,6387
10/06/2024,08:32 AM,Concha,1,,$3.66,$0.00,$3.66,$0.30,TRANS000014,PAY000014,CUST0285,Customer 397,CUST0285,each,1,Employee 9,9867
10/06/2024,08:32 AM,Horchata Agua Fresca,1,,$3.85,$0.00,$3.85,$0.32,TRANS000014,PAY000014,CUST0285,Customer 397,CUST0285,each,1,Employee 3,2122
09/05/2024,09:48 AM,Pan Dulce,1,,$7.33,$0.00,$7.33,$0.60,TRANS000015,PAY000015,,,,each,1,Employee 4,5946
09/05/2024,09:48 AM,Cinnamon Roll,1,,$5.47,$0.60,$4.87,$0.40,TRANS000015,PAY000015,,,,each,1,Employee 9,6588
09/22/2024,02:15 PM,Cold Brew,1,,$4.37,$0.00,$4.37,$0.36,TRANS000016,PAY000016,CUST0042,Customer 186,CUST0042,each,1,Employee 6,2365
09/22/2024,02:15 PM,Croissant Plain,1,,$6.75,$0.00,$6.75,$0.56,TRANS000016,PAY000016,CUST0042,Customer 186,CUST0042,each,1,Employee 9,2324
12/10/2024,11:05 AM,Concha,1,,$5.41,$0.83,$4.58,$0.38,TRANS000017,PAY000017,,,,each,1,Employee 5,1133
12/10/2024,11:05 AM,Americano,1,,$6.01,$0.00,$6.01,$0.50,TRANS000017,PAY000017,,,,each,1,Employee 5,5175
11/26/2024,12:10 PM,Tea,1,,$4.21,$0.00,$4.21,$0.35,TRANS000018,PAY000018,CUST0147,Customer 20,CUST0147,each,1,Employee 5,5835
11/26/2024,12:10 PM,Limonada 16oz,1,,$5.47,$0.00,$5.47,$0.45,TRANS000018,PAY000018,CUST0147,Customer 20,CUST0147,each,1,Employee 1,6320
11/26/2024,12:10 PM,Horchata Agua Fresca,1,,$4.12,$0.00,$4.12,$0.34,TRANS000018,PAY000018,CUST0147,Customer 20,CUST0147,each,1,Employee 3,4324
12/12/2024,09:50 AM,Croissant Plain,1,,$6.27,$0.00,$6.27,$0.52,TRANS000019,PAY000019,,,,each,1,Employee 5,6989
12/12/2024,09:50 AM,BLT,1,,$13.48,$0.00,$13.48,$1.11,TRANS000019,PAY000019,,,,each,1,Employee 5,5809
10/22/2024,08:20 AM,Cortado,1,,$5.20,$0.00,$5.20,$0.43,TRANS000020,PAY000020,CUST0051,Customer 173,CUST0051,each,1,Employee 5,7996
12/20/2024,09:10 AM,Chilaquiles,1,,$8.40,$1.36,$7.04,$0.58,TRANS000021,PAY000021,CUST0252,Customer 226,CUST0252,each,1,Employee 2,5300
12/04/2024,10:46 AM,Quesadilla,1,,$11.29,$0.00,$11.29,$0.93,TRANS000022,PAY000022,CUST0095,Customer 459,CUST0095,each,1,Employee 2,8240
08/26/2024,04:46 PM,Chilaquiles,1,,$12.12,$0.00,$12.12,$1.00,TRANS000023,PAY000023,CUST0350,Customer 107,CUST0350,each,1,Employee 2,8673
08/26/2024,04:46 PM,Limonada 16oz,1,,$4.21,$0.00,$4.21,$0.35,TRANS000023,PAY000023,CUST0350,Customer 107,CUST0350,each,1,Employee 9,6750
08/28/2024,05:38 PM,Drip,1,,$5.61,$0.00,$5.61,$0.46,TRANS000024,PAY000024,CUST0474,Customer 126,CUST0474,each,1,Employee 8,1876
11/29/2024,08:52 AM,Cortado,1,,$5.39,$0.00,$5.39,$0.44,TRANS000025,PAY000025,CUST0112,Customer 4,CUST0112,each,1,Employee 3,7316
09/13/2024,12:05 PM,Avocado Toast,1,,$9.21,$0.00,$9.21,$0.76,TRANS000026,PAY000026,,,,each,1,Employee 4,9512
09/13/2024,12:05 PM,Matcha Latte,1,,$3.78,$0.42,$3.36,$0.28,TRANS000026,PAY000026,,,,each,1,Employee 8,4490
09/13/2024,12:05 PM,BLT,1,,$10.09,$0.00,$10.09,$0.83,TRANS000026,PAY000026,,,,each,1,Employee 2,2908
09/13/2024,12:05 PM,Breakfast Tacos,1,,$12.39,$0.00,$12.39,$1.02,TRANS000026,PAY000026,,,,each,1,Employee 3,3560
09/09/2024,01:59 PM,Cold Brew,1,,$5.10,$0.00,$5.10,$0.42,TRANS000027,PAY000027,CUST0361,Customer 229,CUST0361,each,1,Employee 1,2248
09/09/2024,01:59 PM,Cappuccino,1,,$4.98,$0.00,$4.98,$0.41,TRANS000027,PAY000027,CUST0361,Customer 229,CUST0361,each,1,Employee 5,4687
09/09/2024,01:59 PM,Churro,1,,$4.42,$0.00,$4.42,$0.36,TRANS000027,PAY000027,CUST0361,Customer 229,CUST0361,each,1,Employee 6,6765
10/06/2024,02:50 PM,Crepe,1,,$11.24,$0.00,$11.24,$0.93,TRANS000028,PAY000028,CUST0015,Customer 111,CUST0015,each,1,Employee 4,3891
12/08/2024,10:50 AM,Tea,1,,$3.55,$0.00,$3.55,$0.29,TRANS000029,PAY000029,,,,each,1,Employee 1,9795
12/08/2024,10:50 AM,Avocado Toast,1,,$10.25,$1.10,$9.14,$0.75,TRANS000029,PAY000029,,,,each,1,Employee 8,4368
08/11/2024,02:00 PM,Crepe,1,,$10.08,$0.00,$10.08,$0.83,TRANS000030,PAY000030,,,,each,1,Employee 2,7490
08/17/2024,10:53 AM,Quesadilla,1,,$9.26,$0.00,$9.26,$0.76,TRANS000031,PAY000031,,,,each,1,Employee 1,5524
08/30/2024,03:18 PM,Muffin,1,,$6.86,$0.00,$6.86,$0.57,TRANS000032,PAY000032,,,,each,1,Employee 8,1832
09/26/2024,02:02 PM,Avocado Toast,1,,$12.42,$0.00,$12.42,$1.02,TRANS000033,PAY000033,,,,each,1,Employee 3,2308
10/21/2024,09:00 AM,Cinnamon Roll,1,,$4.23,$0.00,$4.23,$0.35,TRANS000034,PAY000034,,,,each,1,Employee 1,3573
10/21/2024,09:00 AM,BLT,1,,$12.45,$0.00,$12.45,$1.03,TRANS000034,PAY000034,,,,each,1,Employee 9,8368
10/21/2024,09:00 AM,Limonada 16oz,1,,$3.78,$0.00,$3.78,$0.31,TRANS000034,PAY000034,,,,each,1,Employee 4,7809
08/29/2024,09:22 AM,Americano,1,,$5.58,$0.00,$5.58,$0.46,TRANS000035,PAY000035,,,,each,1,Employee 1,3969
08/29/2024,09:22 AM,BLT,1,,$10.43,$0.00,$10.43,$0.86,TRANS000035,PAY000035,,,,each,1,Employee 2,4067
09/23/2024,08:50 AM,Breakfast Tacos,1,,$13.05,$0.00,$13.05,$1.08,TRANS000036,PAY000036,,,,each,1,Employee 2,1153
10/12/2024,04:39 PM,Crepe,1,,$8.52,$0.00,$8.52,$0.70,TRANS000037,PAY000037,,,,each,1,Employee 3,6895
10/12/2024,04:39 PM,Croissant Plain,1,,$6.06,$0.00,$6.06,$0.50,TRANS000037,PAY000037,,,,each,1,Employee 5,3421
08/25/2024,09:24 AM,Churro,1,,$6.88,$0.00,$6.88,$0.57,TRANS000038,PAY000038,,,,each,1,Employee 7,6392
08/25/2024,09:24 AM,Croissant Plain,1,,$6.10,$0.00,$6.10,$0.50,TRANS000038,PAY000038,,,,each,1,Employee 2,1130
09/06/2024,03:25 PM,Chai,1,,$5.50,$0.00,$5.50,$0.45,TRANS000039,PAY000039,CUST0015,Customer 376,CUST0015,each,1,Employee 1,9436
09/06/2024,03:25 PM,Drip,1,,$5.20,$0.00,$5.20,$0.43,TRANS000039,PAY000039,CUST0015,Customer 376,CUST0015,each,1,Employee 9,5361
01/05/2025,04:38 PM,Concha,1,,$5.85,$0.00,$5.85,$0.48,TRANS000040,PAY000040,,,,each,1,Employee 8,9202
01/05/2025,04:38 PM,Cinnamon Roll,1,,$7.11,$0.00,$7.11,$0.59,TRANS000040,PAY000040,,,,each,1,Employee 7,6690
10/11/2024,11:28 AM,Limonada 16oz,1,,$4.53,$0.00,$4.53,$0.37,TRANS000041,PAY000041,,,,each,1,Employee 1,9194
10/11/2024,11:28 AM,Quesadilla,1,,$12.89,$0.00,$12.89,$1.06,TRANS000041,PAY000041,,,,each,1,Employee 8,1892
10/28/2024,04:03 PM,Cinnamon Roll,1,,$4.38,$0.00,$4.38,$0.36,TRANS000042,PAY000042,CUST0105,Customer 440,CUST0105,each,1,Employee 5,6068
10/28/2024,04:03 PM,Churro,1,,$6.90,$0.00,$6.90,$0.57,TRANS000042,PAY000042,CUST0105,Customer 440,CUST0105,each,1,Employee 3,3745
10/06/2024,03:39 PM,Pan Dulce,1,,$7.35,$0.00,$7.35,$0.61,TRANS000043,PAY000043,,,,each,1,Employee 7,8561
10/06/2024,03:39 PM,Latte Build Your Own,1,,$6.05,$0.00,$6.05,$0.50,TRANS000043,PAY000043,,,,each,1,Employee 7,4998
10/21/2024,11:01 AM,Drip,1,,$5.88,$0.00,$5.88,$0.49,TRANS000044,PAY000044,,,,each,1,Employee 4,2887
10/21/2024,11:01 AM,Chilaquiles,1,,$12.63,$0.00,$12.63,$1.04,TRANS000044,PAY000044,,,,each,1,Employee 1,9073
10/21/2024,11:01 AM,Breakfast Tacos,1,,$10.84,$1.17,$9.68,$0.80,TRANS000044,PAY000044,,,,each,1,Employee 2,3353
08/14/2024,11:58 AM,Americano,1,,$5.70,$0.00,$5.70,$0.47,TRANS000045,PAY000045,,,,each,1,Employee 3,3896
12/04/2024,03:27 PM,Chai,1,,$3.68,$0.00,$3.68,$0.30,TRANS000046,PAY000046,,,,each,1,Employee 2,7342
12/04/2024,03:27 PM,Cold Brew,1,,$5.57,$0.57,$4.99,$0.41,TRANS000046,PAY000046,,,,each,1,Employee 3,8725
08/15/2024,04:29 PM,Cinnamon Roll,1,,$4.08,$0.64,$3.44,$0.28,TRANS000047,PAY000047,CUST0236,Customer 340,CUST0236,each,1,Employee 6,3720
01/07/2025,09:59 AM,Tea,1,,$4.69,$0.00,$4.69,$0.39,TRANS000048,PAY000048,,,,each,1,Employee 9,9907
08/08/2024,03:49 PM,BLT,1,,$13.86,$0.00,$13.86,$1.14,TRANS000049,PAY000049,,,,each,1,Employee 8,3356
08/08/2024,03:49 PM,Crepe,1,,$11.95,$0.00,$11.95,$0.99,TRANS000049,PAY000049,,,,each,1,Employee 2,8057
12/28/2024,12:31 PM,Matcha Latte,1,,$4.53,$0.00,$4.53,$0.37,TRANS000050,PAY000050,,,,each,1,Employee 5,6631
12/28/2024,12:31 PM,Horchata Agua Fresca,1,,$4.71,$0.00,$4.71,$0.39,TRANS000050,PAY000050,,,,each,1,Employee 4,2394
12/03/2024,10:44 AM,Chai,1,,$3.83,$0.00,$3.83,$0.32,TRANS000051,PAY000051,,,,each,1,Employee 9,9219
10/05/2024,10:36 AM,Concha,1,,$5.02,$0.00,$5.02,$0.41,TRANS000052,PAY000052,,,,each,1,Employee 5,4568
11/28/2024,03:27 PM,Quesadilla,1,,$12.12,$1.60,$10.51,$0.87,TRANS000053,PAY000053,,,,each,1,Employee 9,6342
11/28/2024,03:27 PM,Tea,1,,$4.01,$0.00,$4.01,$0.33,TRANS000053,PAY000053,,,,each,1,Employee 7,8595
11/28/2024,03:27 PM,BLT,1,,$11.19,$1.27,$9.93,$0.82,TRANS000053,PAY000053,,,,each,1,Employee 4,2969
12/02/2024,02:07 PM,Americano,1,,$6.35,$0.00,$6.35,$0.52,TRANS000054,PAY000054,CUST0264,Customer 157,CUST0264,each,1,Employee 5,9125
12/02/2024,02:07 PM,Cinnamon Roll,1,,$6.13,$0.00,$6.13,$0.51,TRANS000054,PAY000054,CUST0264,Customer 157,CUST0264,each,1,Employee 6,1574
12/02/2024,02:07 PM,Chai,1,,$5.45,$0.00,$5.45,$0.45,TRANS000054,PAY000054,CUST0264,Customer 157,CUST0264,each,1,Employee 9,4828
12/02/2024,02:07 PM,Tea,1,,$4.63,$0.00,$4.63,$0.38,TRANS000054,PAY000054,CUST0264,Customer 157,CUST0264,each,1,Employee 4,4173
12/10/2024,01:18 PM,Concha,1,,$5.91,$0.00,$5.91,$0.49,TRANS000055,PAY000055,,,,each,1,Employee 2,3989
12/10/2024,01:18 PM,Limonada 16oz,1,,$4.50,$0.00,$4.50,$0.37,TRANS000055,PAY000055,,,,each,1,Employee 8,3863
12/10/2024,01:18 PM,Cold Brew,1,,$6.12,$0.00,$6.12,$0.50,TRANS000055,PAY000055,,,,each,1,Employee 9,1011
12/11/2024,09:47 AM,Drip,1,,$4.25,$0.00,$4.25,$0.35,TRANS000056,PAY000056,,,,each,1,Employee 5,4610
12/11/2024,09:47 AM,Limonada 16oz,1,,$5.36,$0.00,$5.36,$0.44,TRANS000056,PAY000056,,,,each,1,Employee 8,8311
11/14/2024,11:29 AM,Cookies,1,,$3.95,$0.65,$3.30,$0.27,TRANS000057,PAY000057,CUST0132,Customer 90,CUST0132,each,1,Employee 5,7869
11/14/2024,11:29 AM,Pan Dulce,1,,$5.87,$0.00,$5.87,$0.48,TRANS000057,PAY000057,CUST0132,Customer 90,CUST0132,each,1,Employee 8,6752
12/03/2024,05:07 PM,Cold Brew,1,,$4.58,$0.00,$4.58,$0.38,TRANS000058,PAY000058,,,,each,1,Employee 9,2100
12/03/2024,05:07 PM,Americano,1,,$5.49,$0.00,$5.49,$0.45,TRANS000058,PAY000058,,,,each,1,Employee 2,2343
09/04/2024,02:20 PM,Chai,1,,$3.64,$0.00,$3.64,$0.30,TRANS000059,PAY000059,,,,each,1,Employee 2,6051
09/04/2024,02:20 PM,Limonada 16oz,1,,$5.10,$0.00,$5.10,$0.42,TRANS000059,PAY000059,,,,each,1,Employee 5,8397
09/19/2024,10:53 AM,Chilaquiles,1,,$10.54,$0.00,$10.54,$0.87,TRANS000060,PAY000060,,,,each,1,Employee 1,4719
08/03/2024,02:27 PM,Avocado Toast,1,,$10.08,$0.00,$10.08,$0.83,TRANS000061,PAY000061,CUST0468,Customer 360,CUST0468,each,1,Employee 1,6962
08/03/2024,02:27 PM,Cookies,1,,$6.80,$0.00,$6.80,$0.56,TRANS000061,PAY000061,CUST0468,Customer 360,CUST0468,each,1,Employee 4,5406
08/03/2024,02:27 PM,Cold Brew,1,,$4.40,$0.00,$4.40,$0.36,TRANS000061,PAY000061,CUST0468,Customer 360,CUST0468,each,1,Employee 6,6435
08/03/2024,02:27 PM,Crepe,1,,$13.11,$0.00,$13.11,$1.08,TRANS000061,PAY000061,CUST0468,Customer 360,CUST0468,each,1,Employee 1,9785
09/04/2024,03:41 PM,Concha,1,,$4.06,$0.00,$4.06,$0.33,TRANS000062,PAY000062,,,,each,1,Employee 4,3530
09/04/2024,03:41 PM,BLT,1,,$10.39,$1.42,$8.97,$0.74,TRANS000062,PAY000062,,,,each,1,Employee 8,3964
09/04/2024,03:41 PM,Limonada 16oz,1,,$3.55,$0.70,$2.85,$0.24,TRANS000062,PAY000062,,,,each,1,Employee 4,6777
09/29/2024,01:31 PM,Concha,1,,$3.90,$0.00,$3.90,$0.32,TRANS000063,PAY000063,,,,each,1,Employee 1,2638
09/09/2024,08:36 AM,Avocado Toast,1,,$11.49,$0.00,$11.49,$0.95,TRANS000064,PAY000064,,,,each,1,Employee 8,6542
09/09/2024,08:36 AM,Churro,1,,$5.98,$0.00,$5.98,$0.49,TRANS000064,PAY000064,,,,each,1,Employee 2,8380
10/21/2024,12:44 PM,Latte Build Your Own,1,,$4.19,$0.00,$4.19,$0.35,TRANS000065,PAY000065,,,,each,1,Employee 2,4897
08/21/2024,02:33 PM,Concha,1,,$4.91,$0.00,$4.91,$0.41,TRANS000066,PAY000066,,,,each,1,Employee 4,6330
12/13/2024,10:27 AM,Tea,1,,$5.42,$0.00,$5.42,$0.45,TRANS000067,PAY000067,,,,each,1,Employee 2,3196
12/18/2024,03:01 PM,Churro,1,,$3.55,$0.00,$3.55,$0.29,TRANS000068,PAY000068,,,,each,1,Employee 7,1038
12/18/2024,03:01 PM,Crepe,1,,$13.08,$0.00,$13.08,$1.08,TRANS000068,PAY000068,,,,each,1,Employee 2,3196
12/19/2024,12:07 PM,Americano,1,,$6.18,$0.00,$6.18,$0.51,TRANS000069,PAY000069,,,,each,1,Employee 5,7279
12/19/2024,12:07 PM,Latte Build Your Own,1,,$5.15,$0.64,$4.51,$0.37,TRANS000069,PAY000069,,,,each,1,Employee 5,1514
12/10/2024,03:34 PM,BLT,1,,$12.07,$0.00,$12.07,$1.00,TRANS000070,PAY000070,,,,each,1,Employee 7,6189
09/25/2024,10:36 AM,Chilaquiles,1,,$8.62,$0.00,$8.62,$0.71,TRANS000071,PAY000071,,,,each,1,Employee 4,4959
08/24/2024,09:29 AM,Avocado Toast,1,,$13.99,$0.00,$13.99,$1.15,TRANS000072,PAY000072,CUST0060,Customer 403,CUST0060,each,1,Employee 1,2283
08/24/2024,09:29 AM,Matcha Latte,1,,$4.49,$0.00,$4.49,$0.37,TRANS000072,PAY000072,CUST0060,Customer 403,CUST0060,each,1,Employee 6,3125
08/24/2024,09:29 AM,Muffin,1,,$6.49,$0.00,$6.49,$0.54,TRANS000072,PAY000072,CUST0060,Customer 403,CUST0060,each,1,Employee 5,6624
09/30/2024,05:49 PM,Americano,1,,$6.26,$0.00,$6.26,$0.52,TRANS000073,PAY000073,,,,each,1,Employee 8,4384
11/08/2024,01:40 PM,Chilaquiles,1,,$10.08,$0.00,$10.08,$0.83,TRANS000074,PAY000074,,,,each,1,Employee 7,1671
12/26/2024,03:14 PM,Concha,1,,$6.90,$0.00,$6.90,$0.57,TRANS000075,PAY000075,,,,each,1,Employee 1,1572
12/26/2024,03:14 PM,Americano,1,,$6.15,$0.00,$6.15,$0.51,TRANS000075,PAY000075,,,,each,1,Employee 9,7566
12/26/2024,03:14 PM,Cinnamon Roll,1,,$6.33,$0.00,$6.33,$0.52,TRANS000075,PAY000075,,,,each,1,Employee 6,2517
11/06/2024,08:09 AM,Cortado,1,,$5.90,$0.00,$5.90,$0.49,TRANS000076,PAY000076,,,,each,1,Employee 8,2749
11/24/2024,04:39 PM,Latte Build Your Own,1,,$4.69,$0.00,$4.69,$0.39,TRANS000077,PAY000077,,,,each,1,Employee 9,5654
11/24/2024,04:39 PM,Crepe,1,,$9.18,$0.00,$9.18,$0.76,TRANS000077,PAY000077,,,,each,1,Employee 2,7971
11/24/2024,04:39 PM,Horchata Agua Fresca,1,,$4.89,$0.00,$4.89,$0.40,TRANS000077,PAY000077,,,,each,1,Employee 7,5943
11/24/2024,04:39 PM,Cold Brew,1,,$6.14,$0.00,$6.14,$0.51,TRANS000077,PAY000077,,,,each,1,Employee 2,2898
09/09/2024,01:32 PM,Breakfast Tacos,1,,$8.78,$0.00,$8.78,$0.72,TRANS000078,PAY000078,CUST0008,Customer 101,CUST0008,each,1,Employee 3,4864
09/09/2024,01:32 PM,Crepe,1,,$12.94,$0.00,$12.94,$1.07,TRANS000078,PAY000078,CUST0008,Customer 101,CUST0008,each,1,Employee 5,1226
08/09/2024,11:37 AM,Crepe,1,,$9.15,$0.00,$9.15,$0.75,TRANS000079,PAY000079,,,,each,1,Employee 7,7416
08/09/2024,11:37 AM,Americano,1,,$6.10,$0.00,$6.10,$0.50,TRANS000079,PAY000079,,,,each,1,Employee 3,9915
12/03/2024,09:01 AM,Pan Dulce,1,,$3.74,$0.00,$3.74,$0.31,TRANS000080,PAY000080,CUST0047,Customer 423,CUST0047,each,1,Employee 3,5741
12/29/2024,09:55 AM,Cappuccino,1,,$5.40,$0.00,$5.40,$0.45,TRANS000081,PAY000081,CUST0328,Customer 190,CUST0328,each,1,Employee 9,2531
08/19/2024,11:13 AM,Crepe,1,,$8.47,$0.00,$8.47,$0.70,TRANS000082,PAY000082,CUST0164,Customer 424,CUST0164,each,1,Employee 1,3479
01/05/2025,10:10 AM,Breakfast Tacos,1,,$8.83,$0.00,$8.83,$0.73,TRANS000083,PAY000083,,,,each,1,Employee 4,7748
01/05/2025,10:10 AM,Cinnamon Roll,1,,$4.18,$0.00,$4.18,$0.35,TRANS000083,PAY000083,,,,each,1,Employee 6,4740
01/05/2025,10:10 AM,Concha,1,,$6.06,$0.00,$6.06,$0.50,TRANS000083,PAY000083,,,,each,1,Employee 4,6525
01/05/2025,10:10 AM,BLT,1,,$12.72,$0.00,$12.72,$1.05,TRANS000083,PAY000083,,,,each,1,Employee 2,3007
10/30/2024,02:40 PM,Cappuccino,1,,$6.14,$1.12,$5.01,$0.41,TRANS000084,PAY000084,,,,each,1,Employee 4,5987
10/30/2024,02:40 PM,Pan Dulce,1,,$4.64,$0.00,$4.64,$0.38,TRANS000084,PAY000084,,,,each,1,Employee 5,2968
10/01/2024,05:42 PM,Cortado,1,,$4.74,$0.00,$4.74,$0.39,TRANS000085,PAY000085,CUST0344,Customer 37,CUST0344,each,1,Employee 5,5615
12/31/2024,02:29 PM,Latte Build Your Own,1,,$6.22,$0.00,$6.22,$0.51,TRANS000086,PAY000086,CUST0175,Customer 340,CUST0175,each,1,Employee 2,5658
11/26/2024,04:56 PM,Croissant Plain,1,,$6.88,$0.00,$6.88,$0.57,TRANS000087,PAY000087,CUST0454,Customer 155,CUST0454,each,1,Employee 2,7563
11/07/2024,02:08 PM,Horchata Agua Fresca,1,,$5.02,$0.00,$5.02,$0.41,TRANS000088,PAY000088,,,,each,1,Employee 3,4273
12/24/2024,10:42 AM,Tea,1,,$3.70,$0.00,$3.70,$0.31,TRANS000089,PAY000089,,,,each,1,Employee 3,3309
09/28/2024,12:29 PM,Limonada 16oz,1,,$5.02,$0.00,$5.02,$0.41,TRANS000090,PAY000090,,,,each,1,Employee 3,2439
11/17/2024,10:57 AM,Avocado Toast,1,,$9.21,$0.00,$9.21,$0.76,TRANS000091,PAY000091,,,,each,1,Employee 5,9848
11/09/2024,11:53 AM,Cortado,1,,$4.76,$0.00,$4.76,$0.39,TRANS000092,PAY000092,,,,each,1,Employee 1,9125
12/29/2024,04:50 PM,Pan Dulce,1,,$7.39,$0.00,$7.39,$0.61,TRANS000093,PAY000093,,,,each,1,Employee 7,3767
12/29/2024,04:50 PM,Quesadilla,1,,$12.58,$0.00,$12.58,$1.04,TRANS000093,PAY000093,,,,each,1,Employee 6,5778
10/06/2024,01:09 PM,Chilaquiles,1,,$11.95,$0.00,$11.95,$0.99,TRANS000094,PAY000094,CUST0464,Customer 204,CUST0464,each,1,Employee 4,4175
08/23/2024,04:33 PM,Cinnamon Roll,1,,$4.08,$0.00,$4.08,$0.34,TRANS000095,PAY000095,,,,each,1,Employee 8,3555
09/03/2024,02:02 PM,Horchata Agua Fresca,1,,$4.77,$0.00,$4.77,$0.39,TRANS000096,PAY000096,,,,each,1,Employee 2,7555
09/03/2024,02:02 PM,Breakfast Tacos,1,,$9.41,$0.00,$9.41,$0.78,TRANS000096,PAY000096,,,,each,1,Employee 6,7846
09/03/2024,02:02 PM,Croissant Plain,1,,$3.98,$0.00,$3.98,$0.33,TRANS000096,PAY000096,,,,each,1,Employee 8,6585
08/12/2024,02:30 PM,Crepe,1,,$8.78,$0.00,$8.78,$0.72,TRANS000097,PAY000097,CUST0354,Customer 127,CUST0354,each,1,Employee 2,5523
11/08/2024,09:14 AM,Matcha Latte,1,,$4.04,$0.00,$4.04,$0.33,TRANS000098,PAY000098,,,,each,1,Employee 3,2316
11/08/2024,09:14 AM,Pan Dulce,1,,$3.69,$0.00,$3.69,$0.30,TRANS000098,PAY000098,,,,each,1,Employee 7,3587
11/08/2024,09:14 AM,Tea,1,,$5.23,$0.00,$5.23,$0.43,TRANS000098,PAY000098,,,,each,1,Employee 2,8935
11/13/2024,02:40 PM,Cold Brew,1,,$4.13,$0.00,$4.13,$0.34,TRANS000099,PAY000099,,,,each,1,Employee 6,2461
10/04/2024,11:20 AM,Drip,1,,$5.33,$0.00,$5.33,$0.44,TRANS000100,PAY000100,,,,each,1,Employee 8,9931
11/30/2024,05:37 PM,Latte Build Your Own,1,,$5.62,$0.00,$5.62,$0.46,TRANS000101,PAY000101,,,,each,1,Employee 3,5552
11/30/2024,05:37 PM,Horchata Agua Fresca,1,,$4.59,$0.00,$4.59,$0.38,TRANS000101,PAY000101,,,,each,1,Employee 7,9835
11/12/2024,10:28 AM,Limonada 16oz,1,,$4.05,$0.00,$4.05,$0.33,TRANS000102,PAY000102,CUST0412,Customer 205,CUST0412,each,1,Employee 8,6102
